model_name,test_loss,test_mean_accuracy,test_mean_recall,test_mean_precision,test_mean_iou,test_mean_F1
U_Effnet++ TR ATT,40.7,99.81,38.79,84.25,36.16,53.12
V2 U_Effnet++ TR ATT,46.98,99.81,34.239999999999995,90.37,33.03,49.66
U_Effnet,42.42,99.79,33.44,76.72,30.36,46.58
U_Effnet++ ATT,44.29,99.79,31.380000000000003,79.5,29.03,45.0
U_Effnet++,48.1,99.79,29.69,84.39,28.14,43.92
V2 U_Effnet(50M),52.85,99.79,26.01,86.79,25.02,40.02
V2 U_Effnet(22M),53.45,99.78,26.31,79.01,24.59,39.47
Unet++,52.56999999999999,99.78,26.1,75.46000000000001,24.06,38.79
V2 U_Effnet++ ATT,54.76,99.78,22.76,82.01,21.68,35.63
Unet,54.73,99.76,24.15,67.10000000000001,21.6,35.52
DeepLabV3+,58.42,99.76,21.8,71.16,20.03,33.37
